42.257,-85.15317,300
42.25633,-85.15233,495
42.25583,-85.1515,678
42.25483,-85.15067,878
42.2525,-85.14783,1088
42.24783,-85.14433,1499
42.24583,-85.14233,1698
42.24317,-85.14017,1908
42.23967,-85.13817,2108
42.23467,-85.1355,2312
42.25017,-85.14617,1293
42.2305,-85.13283,2511
42.22667,-85.13,2718
42.22317,-85.12683,2917
42.21983,-85.12283,3124
42.2165,-85.11783,3331
42.20917,-85.10783,3744
42.20483,-85.103,3959
42.20033,-85.09817,4158
42.21283,-85.11267,3539
42.191,-85.08617,4589
42.18717,-85.0795,4800
42.19567,-85.09267,4382
42.1675,-85.04533,5877
42.16267,-85.03733,6099
42.15767,-85.0295,6326
42.15167,-85.02217,6550
42.14,-85.006,7003
42.12833,-84.9885,7470
42.146,-85.01433,6773
42.1175,-84.97133,7919
42.11267,-84.96283,8157
42.10783,-84.95483,8388
42.12283,-84.98,7696
42.103,-84.94733,8615
42.09483,-84.933,9062
42.09883,-84.9405,8838
42.08133,-84.90283,9734
42.0905,-84.92317,9289
42.07367,-84.88483,10181
42.06483,-84.86533,10660
42.06183,-84.856,10882
42.059,-84.846,11123
42.05533,-84.8355,11353
42.0515,-84.8255,11578
42.042,-84.808,12058
42.03333,-84.79333,12618
42.031,-84.78533,12905
42.02883,-84.777,13128
42.02417,-84.76033,13603
42.0215,-84.75133,13909
42.01633,-84.73683,14461
42.02667,-84.76767,13379
42.01533,-84.73233,14746
42.01267,-84.72533,15034
42.01167,-84.71833,15310
42.01233,-84.7135,15590
42.01283,-84.70483,15820
42.01183,-84.689,24616
42.0105,-84.68133,16555
42.01217,-84.66117,17121
42.01183,-84.689,16334
42.01117,-84.65267,17386
42.01217,-84.64517,17716
42.01367,-84.63617,18016
42.0145,-84.62933,18365
42.0145,-84.62917,18379
42.04217,-84.464,18251
42.04367,-84.4565,17409
42.04417,-84.4475,16613
42.04367,-84.4395,15867
42.044,-84.43217,15126
42.04283,-84.42667,14458
42.04033,-84.4195,13813
42.038,-84.4125,13198
42.036,-84.405,12609
42.033,-84.398,12013
42.02867,-84.39,11457
42.0245,-84.37967,10911
42.01717,-84.35967,9925
42.01233,-84.3495,9450
42.00817,-84.33933,9003
42.00417,-84.33133,8557
42.021,-84.37017,10412
41.99933,-84.323,8139
41.99417,-84.31367,7711
41.9885,-84.30467,7316
41.9825,-84.296,6926
41.9765,-84.28733,6530
41.96533,-84.271,5779
41.9615,-84.26367,5413
41.95767,-84.25783,5067
41.954,-84.252,4714
41.94933,-84.24583,4386
41.94517,-84.24117,4051
41.9415,-84.23617,3732
41.938,-84.2315,3413
41.935,-84.227,3112
41.92833,-84.22233,2501
41.921,-84.2175,1913
41.93183,-84.22417,2819
41.91867,-84.21467,1615
41.91633,-84.21183,1344
41.914,-84.2095,1050
41.91183,-84.20733,752
41.91067,-84.20567,440
